,site_cost,site_link,site_title,site_unit,unitcost
18,169.99,/products/seld-mate-a-more-file-kusochki-s-ukropom-460-g/,"Сельдь Матье с укропом А`море филе-кусочки , 460 г",за 1 шт.,369.54
19,139.99,/products/seld-tikhookeanskaya-tomilinskaya-file-kusochki-v-gorchichnoy-zalivke-370-g/,"Сельдь тихоокеанская Томилинская филе-кусочки в горчичной заливке, 370 г",за 1 шт.,378.35
20,79.99,/products/seld-tikhookeanskaya-tomilinskaya-file-kusochki-v-masle-200-g/,"Сельдь тихоокеанская Томилинская филе-кусочки в масле, 200 г",за 1 шт.,399.95
22,79.99,/products/seledochka-russkoe-more-bochkovaya-slabosolenaya-230-g/,"Селедочка Русское море бочковая слабосоленая, 230 г",за 1 шт.,347.78
23,159.99,/products/seledka-stolichnaya-russkoe-more-v-masle-500-g/,"Селедочка традиционный посол Русское море в масле, 500 г",за 1 шт.,319.98
24,79.99,/products/seledochka-russkoe-more-v-masle-traditsionnyy-posol-230-g/,"Селедочка Русское море в масле традиционный посол, 230 г",за 1 шт.,347.78
25,79.99,/products/seledochka-traditsionnyy-posol-russkoe-more-v-masle-s-ukropom-230-g/,"Селедочка традиционный посол Русское море в масле с укропом, 230 г",за 1 шт.,347.78
26,69.99,/products/seledochka-russkoe-more-s-ukropom-v-masle-200-g/,"Селедочка Русское море с укропом в масле, 200 г",за 1 шт.,349.95
27,69.99,/products/seledochka-russkoe-more-v-masle-200-g/,"Селедочка традиционный посол Русское море в масле, 200 г",за 1 шт.,349.95
28,145.99,/products/seld-v-masle-rybnaya-kukhnya-file-500-g/,"Сельдь Рыбная кухня в масле, филе, 500 г",за 1 шт.,291.98
29,145.99,/products/seld-v-masle-rybnaya-kukhnya-s-lukom-500-g/,"Сельдь Рыбная кухня в масле с луком, филе, 500 г",за 1 шт.,291.98
30,319.99,/products/seld-file-kusochki-a-more-v-krasnom-vinnom-souse-900-g/,"Сельдь филе-кусочки А`море в красном винном соусе, 900 г",за 1 шт.,355.54
